Результат выполнения команды: AT+COPN


+COPN: "00101","Test 001 01"
+COPN: "00102","Test 001 02"
+COPN: "20201","GR COSMOTE"
+COPN: "20205","vodafone GR"
+COPN: "20209","WIND GR"
+COPN: "20210","WIND GR"
+COPN: "20402","Tele2 NL"
+COPN: "20404","vodafone NL"
+COPN: "20408","NL KPN"
+COPN: "20412","NL Telfort"
+COPN: "20416","T-Mobile NL"
+COPN: "20420","Orange NL"
+COPN: "20601","BEL PROXIMUS"
+COPN: "20610","B mobistar"
+COPN: "20620","BASE"
+COPN: "20801","Orange F"
+COPN: "20802","F-Contact"
+COPN: "20809","F SFR"
+COPN: "20810","F SFR"
+COPN: "20811","SFR FEMTO"
+COPN: "20813","F - Contact"
+COPN: "20815","Free"
+COPN: "20820","F-Bouygues Telecom"
+COPN: "20888","F - Contact"
+COPN: "21201","vala"
+COPN: "21210","Monaco"
+COPN: "21303","MOBILAND"
+COPN: "21401","vodafone"
+COPN: "21403","Orange"
+COPN: "21404","YOIGO"
+COPN: "21407","Movistar"
+COPN: "21601","Telenor HU"
+COPN: "21630","Telekom HU"
+COPN: "21670","vodafone HU"
+COPN: "21803","HT ERONET"
+COPN: "21805","m:tel"
+COPN: "21890","BH Mobile"
+COPN: "21901","HT HR"
+COPN: "21902","Tele2 HR"
+COPN: "21910","HR VIP"
+COPN: "22001","Telenor SRB"
+COPN: "22002","ProMonte"
+COPN: "22003","mt:s"
+COPN: "22004","T-Mobile CG"
+COPN: "22005","Vip SRB"
+COPN: "22201","I TIM"
+COPN: "22210","vodafone IT"
+COPN: "22288","I WIND"
+COPN: "22298","IT BLU"
+COPN: "22299","3 ITA"
+COPN: "22601","RO Vodafone RO"
+COPN: "22603","TELEKOM.RO"
+COPN: "22605","RO Digi.Mobil"
+COPN: "22610","RO ORANGE"
+COPN: "22800","In&Phone"
+COPN: "22801","Swisscom"
+COPN: "22802","Sunrise"
+COPN: "22803","Orange CH"
+COPN: "22807","In&Phone"
+COPN: "22815","OnAir"
+COPN: "23001","T-Mobile CZ"
+COPN: "23002","O2 CZ"
+COPN: "23003","Vodafone CZ"
+COPN: "23101","Orange SK"
+COPN: "23102","Telekom SK"
+COPN: "23106","O2 - SK"
+COPN: "23201","A1"
+COPN: "23203","T-Mobile A"
+COPN: "23205","3 AT"
+COPN: "23207","telering"
+COPN: "23210","3 AT"
+COPN: "23212","yesss!"
+COPN: "23403","Airtel-Vodafone"
+COPN: "23407","Cable&Wireless UK"
+COPN: "23410","O2 - UK"
+COPN: "23415","vodafone UK"
+COPN: "23419","PMN UK"
+COPN: "23420","3 UK"
+COPN: "23428","Marathon"
+COPN: "23430","EE"
+COPN: "23431","EE"
+COPN: "23432","EE"
+COPN: "23433","EE"
+COPN: "23450","JT"
+COPN: "23455","Sure"
+COPN: "23458","Manx Telecom"
+COPN: "23801","DK TDC"
+COPN: "23802","Telenor DK"
+COPN: "23806","3 DK"
+COPN: "23820","Telia DK"
+COPN: "23830","Orange DK"
+COPN: "23866","Telia-Telenor DK"
+COPN: "23877","Telenor DK"
+COPN: "24001","TELIA S"
+COPN: "24002","3 SE"
+COPN: "24003","Orange"
+COPN: "24004","SWEDEN"
+COPN: "24005","Sweden 3G"
+COPN: "24007","Tele2"
+COPN: "24008","Telenor SE"
+COPN: "24024","Telenor SE"
+COPN: "24201","N Telenor"
+COPN: "24202","N NetCom"
+COPN: "24204","Mobile Norway"
+COPN: "24205","Mobile Norway"
+COPN: "24403","DNA"
+COPN: "24405","FI elisa"
+COPN: "24409","FI FINNET"
+COPN: "24412","DNA"
+COPN: "24414","FI AMT"
+COPN: "24491","FI SONERA"
+COPN: "24601","OMNITEL LT"
+COPN: "24602","LT BITE GSM"
+COPN: "24603","Tele2 LT"
+COPN: "24701","LV LMT"
+COPN: "24702","Tele2 LV"
+COPN: "24705","BITE LV"
+COPN: "24801","EMT"
+COPN: "24802","EE Elisa"
+COPN: "24803","Tele2 EE"
+COPN: "25001","MTS RUS"
+COPN: "25002","MegaFon RUS"
+COPN: "25003","ROSTELECOM"
+COPN: "25004","RUS_SCN"
+COPN: "25005","ROSTELECOM"
+COPN: "25007","RUS SMARTS"
+COPN: "25010","RUS DTC"
+COPN: "25011","ORENSOT"
+COPN: "25012","ROSTELECOM"
+COPN: "25013","RUS Kuban-GSM"
+COPN: "25015","RUS SMARTS"
+COPN: "25016","NTC"
+COPN: "25017","ROSTELECOM"
+COPN: "25019","RUS INDIGO"
+COPN: "25020","TELE2 RU"
+COPN: "25028","EXTEL RUS"
+COPN: "25035","MOTIV"
+COPN: "25037","KODOTEL"
+COPN: "25038","ROSTELECOM"
+COPN: "25039","ROSTELECOM"
+COPN: "25044","NC-GSM"
+COPN: "25092","Primtel"
+COPN: "25093","Telecom XXI RUS"
+COPN: "25099","Beeline"
+COPN: "25501","MTS UKR"
+COPN: "25502","Beeline UA"
+COPN: "25503","UA-KYIVSTAR"
+COPN: "25505","UA-GT"
+COPN: "25506","life:)"
+COPN: "25507","TriMob"
+COPN: "25702","MTS BY"
+COPN: "25704","life:) BY"
+COPN: "25901","Orange MD"
+COPN: "25902","MD MOLDCELL"
+COPN: "25905","UNITE"
+COPN: "26001","Plus"
+COPN: "26002","T-Mobile.pl"
+COPN: "26003","Orange PL"
+COPN: "26006","Play"
+COPN: "26201","Telekom.de"
+COPN: "26202","Vodafone.de"
+COPN: "26203","E-Plus"
+COPN: "26207","O2 de"
+COPN: "26208","O2 de"
+COPN: "26213","MobilCom"
+COPN: "26214","Quam"
+COPN: "26601","GIBTEL GSM"
+COPN: "26606","CTS"
+COPN: "26609","Shine"
+COPN: "26801","vodafone P"
+COPN: "26803","NOS"
+COPN: "26806","MEO"
+COPN: "27001","POST"
+COPN: "27077","L TANGO"
+COPN: "27099","L Orange-LU"
+COPN: "27201","vodafone IE"
+COPN: "27202","O2-IRL"
+COPN: "27203","IRL - METEOR"
+COPN: "27205","3 IRL"
+COPN: "27401","Siminn"
+COPN: "27402","Vodafone"
+COPN: "27403","IS Islandssimi hf"
+COPN: "27404","Viking"
+COPN: "27408","On-waves"
+COPN: "27411","NOVA IS"
+COPN: "27412","Siminn"
+COPN: "27601","A M C"
+COPN: "27602","Vodafone AL"
+COPN: "27603","EAGLE AL"
+COPN: "27604","PLUS AL"
+COPN: "27801","vodafone MT"
+COPN: "27821","go mobile"
+COPN: "27877","Telecoms Malta"
+COPN: "28001","Cyta-Voda"
+COPN: "28010","MTN"
+COPN: "28201","GEO-GEOCELL"
+COPN: "28202","MAGTI-GSM-GEO"
+COPN: "28204","BEELINE GE"
+COPN: "28301","Beeline AM"
+COPN: "28305","MTS ARM"
+COPN: "28310","Orange AM"
+COPN: "28401","Mtel"
+COPN: "28403","Vivacom"
+COPN: "28405","Telenor BG"
+COPN: "28601","TR TURKCELL"
+COPN: "28602","VODAFONE TR"
+COPN: "28603","AVEA"
+COPN: "28604","TR AYCELL"
+COPN: "28801","Foroya Tele"
+COPN: "28802","VODAFONE FO"
+COPN: "29001","TELE Greenland"
+COPN: "29201","SMT"
+COPN: "29266","SMT"
+COPN: "29340","Si.mobil"
+COPN: "29341","MOBITEL"
+COPN: "29364","T-2"
+COPN: "29370","SI TUSMOBIL"
+COPN: "29401","T-Mobile MK"
+COPN: "29402","ONE MK"
+COPN: "29403","Vip MKD"
+COPN: "29501","SwisscomFL"
+COPN: "29502","Orange FL"
+COPN: "29505","FL1"
+COPN: "29577","Alpmobile"
+COPN: "295295","SwisscomFL"
+COPN: "29701","Telenor"
+COPN: "29702","Telekom.me"
+COPN: "30266","MTS"
+COPN: "30272","Rogers Wireless"
+COPN: "302220","TELUS"
+COPN: "302270","Eastlink"
+COPN: "302320","Mobilicity"
+COPN: "302340","Execulink Telecom"
+COPN: "302370","Fido"
+COPN: "302380","DMTS GSM"
+COPN: "302490","WIND"
+COPN: "302610","Bell"
+COPN: "302660","MTS"
+COPN: "302720","Rogers Wireless"
+COPN: "302730","CAN TerreStar Solutions"
+COPN: "302770","CANRU"
+COPN: "302780","SaskTel"
+COPN: "302880","FastRoam"
+COPN: "302940","Wightman"
+COPN: "30801","SPM AMERIS"
+COPN: "31000","NEP Wireless"
+COPN: "31002","NEP Wireless"
+COPN: "31009","NEP Wireless"
+COPN: "31011","WTTCKy"
+COPN: "310020","US - Union Telephone"
+COPN: "31026","T-Mobile"
+COPN: "310030","AT&T"
+COPN: "31031","T-Mobile"
+COPN: "310032","IT&E"
+COPN: "31038","AT&T"
+COPN: "310040","Cellular One"
+COPN: "31046","USA SIMMETRY"
+COPN: "310050","DIGICEL"
+COPN: "31050","ACS"
+COPN: "31064","USA AE Airadigm"
+COPN: "310070","Highland Cellular"
+COPN: "31077","Iowa Wireless USA"
+COPN: "310080","Corr Wireless"
+COPN: "310100","US PLATEAU"
+COPN: "310120","Sprint"
+COPN: "310140","GTA"
+COPN: "310150","AT&T"
+COPN: "310160","T-Mobile"
+COPN: "310170","AT&T"
+COPN: "310180","West Central Wireless"
+COPN: "310190","USA Dutch Harbor"
+COPN: "310200","T-Mobile"
+COPN: "310210","T-Mobile"
+COPN: "310220","T-Mobile"
+COPN: "310230","T-Mobile"
+COPN: "310240","T-Mobile"
+COPN: "310250","T-Mobile"
+COPN: "310260","T-Mobile"
+COPN: "310270","T-Mobile"
+COPN: "310280","AT&T"
+COPN: "310290","NEP Wireless"
+COPN: "310300","BigSkyUS"
+COPN: "310310","T-Mobile"
+COPN: "310320","USA - CellularOne"
+COPN: "310340","WestLink"
+COPN: "310350","Carolina Phone"
+COPN: "310370","DOCOMO PACIFIC"
+COPN: "310380","AT&T"
+COPN: "310390","Cell1ET"
+COPN: "310400","USA_iCAN"
+COPN: "310410","AT&T"
+COPN: "310420","Cinti Bell"
+COPN: "310450","Cell One of NE Colorado"
+COPN: "310460","USA1L"
+COPN: "310480","Sagebrush"
+COPN: "310490","T-Mobile"
+COPN: "310530","Iowa Wireless USA"
+COPN: "310560","Cellular One DCS"
+COPN: "310570","Chinook"
+COPN: "310580","T-Mobile"
+COPN: "310590","Verizon"
+COPN: "310610","Epic Touch"
+COPN: "310630","USA AmeriLink"
+COPN: "310640","USA AE Airadigm"
+COPN: "310650","Jasper"
+COPN: "310660","T-Mobile"
+COPN: "310670","Wireless 2000 PCS"
+COPN: "310680","NPI Wireless"
+COPN: "310690","Limitless Mobile USA"
+COPN: "310710","USA ASTAC"
+COPN: "310730","U.S.Cellular"
+COPN: "310740","USA OTZ"
+COPN: "310760","PTSI"
+COPN: "310770","Iowa Wireless USA"
+COPN: "310780","AirLink PCS"
+COPN: "310790","Pinpoint"
+COPN: "310800","T-Mobile"
+COPN: "310840","telna Mobile"
+COPN: "310870","US"
+COPN: "310880","USAACSI"
+COPN: "310890","Verizon"
+COPN: "310980","AT&T"
+COPN: "31100","USA Mid-Tex Cellular, Ltd"
+COPN: "31101","Wilkes USA"
+COPN: "31105","Wilkes USA"
+COPN: "311030","Indigo"
